名前	よみ	種類
豊昇龍	ほうしょうりゅう	人名
大の里	おおのさと	人名
霧島	きりしま	人名
琴櫻	ことざくら	人名
熱海富士	あたみふじ	人名
琴勝峰	ことしょうほう	人名
若隆景	わかたかかげ	人名
安青錦	あおにしき	人名
義ノ富士	よしのふじ	人名
王鵬	おうほう	人名
藤ノ川	ふじのかわ	人名
隆の勝	たかのしょう	人名
豪ノ山	ごうのやま	人名
美ノ海	ちゅらのうみ	人名
平戸海	ひらどうみ	人名
伯乃富士	はくのふじ	人名
大栄翔	だいえいしょう	人名
一山本	いちやまもと	人名
宇良	うら	人名
欧勝馬	おうしょうま	人名
正代	しょうだい	人名
藤青雲	ふじせいうん	人名
琴栄峰	ことえいほう	人名
高安	たかやす	人名
若元春	わかもとはる	人名
狼雅	ろうが	人名
藤凌駕	ふじりょうが	人名
翔猿	とびざる	人名
朝乃山	あさのやま	人名
千代翔馬	ちよしょうま	人名
若ノ勝	わかのしょう	人名
御嶽海	みたけうみ	人名
朝白龍	あさはくりゅう	人名
阿炎	あび	人名
錦富士	にしきふじ	人名
尊富士	たけるふじ	人名
金峰山	きんぼうざん	人名
獅司	しし	人名
阿武剋	おうのかつ	人名
一意	かずま	人名
大青山	だいせいざん	人名
朝紅龍	あさこうりゅう	人名
朝翠龍	あさすいりゅう	人名
旭海雄	きょくかいゆう	人名
時疾風	ときはやて	人名
佐田の海	さだのうみ	人名
竜電	りゅうでん	人名
出羽ノ龍	でわのりゅう	人名
友風	ともかぜ	人名
寿之富士	としのふじ	人名
北の若	きたのわか	人名
欧勝海	おうしょううみ	人名
湘南乃海	しょうなんのうみ	人名
風賢央	かぜけんおう	人名
玉鷲	たまわし	人名
明生	めいせい	人名
翠富士	みどりふじ	人名
羽出山	はつやま	人名
白熊	しろくま	人名
西ノ龍	にしのりゅう	人名
日翔志	ひとし	人名
玉正鳳	たましょうほう	人名
輝	かがやき	人名
炎鵬	えんほう	人名
東白龍	とうはくりゅう	人名
嘉陽	かよう	人名
嵐富士	あらしふじ	人名
白鷹山	はくようざん	人名
栃大海	とちたいかい	人名
錦木	にしきぎ	人名
丹治	たんじ	人名
大皇翔	だいこうしょう	人名
豪刃雄	ごうじんゆう	人名
時不動	ときふどう	人名
藤天晴	ふじてんせい	人名
生田目	なばため	人名
夢道鵬	むどうほう	人名
大喜翔	だいきしょう	人名
栃幸大	とちこうだい	人名
荒篤山	こうとくざん	人名
日向丸	ひむかまる	人名
漣	さざなみ	人名
碇潟	いかりがた	人名
天空海	あくあ	人名
大花竜	おおかりゅう	人名
貴健斗	たかけんと	人名
豪ノ湖	ごうのうみ	人名
和歌ノ富士	わかのふじ	人名
大辻	おおつじ	人名
魁清城	かいせいじょう	人名
旭富士	あさひふじ	人名
藤壮大	ふじそうだい	人名
将豊竜	しょうほうりゅう	人名
上戸	かみと	人名
北天海	ほくてんかい	人名
對馬洋	つしまなだ	人名
延原	のべはら	人名
旭水野	きょくみずの	人名
阿蘇ノ山	あそのやま	人名
大雄翔	だいゆうしょう	人名
竜翔	りゅうしょう	人名
黒姫山	くろひめやま	人名
竜鳳	りゅうほう	人名
天道山	てんどうざん	人名
東俊隆	とうしゅんりゅう	人名
花響	はなひびき	人名
北大地	きただいち	人名
大斧	だいまさかり	人名
栃丸	とちまる	人名
太秦	うずまさ	人名
長内	おさない	人名
可貴	かき	人名
朝ノ龍	あさのりゅう	人名
安響	あんひびき	人名
玉欧山	ぎょくおうざん	人名
龍葉山	たつばやま	人名
御雷山	みかづちやま	人名
徳之武藏	とくのむさし	人名
千代虎	ちよとら	人名
行徳	ぎょうとく	人名
大森	おおもり	人名
栃清龍	とちせいりゅう	人名
雷道	いかづちどう	人名
二本柳	にほんやなぎ	人名
豊雅将	ほうがしょう	人名
欧勝竜	おうしょうりゅう	人名
欧山田	おうやまだ	人名
小原	おばら	人名
不動豊	ふどうほう	人名
伊波	いなみ	人名
風の湖	かぜのうみ	人名
光星竜	こうせいりゅう	人名
肥後ノ海	ひごのうみ	人名
志摩ノ海	しまのうみ	人名
清水海	しみずうみ	人名
魁郷	かいごう	人名
峰刃	みねやいば	人名
家の島	いえのしま	人名
城間	しろま	人名
時天嵐	ときてんらん	人名
安房乃国	あわのくに	人名
若雅	わかみやび	人名
火雷	ほのいかづち	人名
海真	かいしん	人名
鳰の湖	におのうみ	人名
麒麟龍	きりんりゅう	人名
高原	たかはら	人名
佐田ノ輝	さだのひかり	人名
隆志	りゅうじ	人名
花の富士	はなのふじ	人名
三田	みた	人名
聖冴	せいご	人名
豪聖山	ごうせいざん	人名
出羽大海	でわたいかい	人名
清乃海	きよのうみ	人名
清田	きよた	人名
魁勝	かいしょう	人名
誠雄	せいゆう	人名
鶴英山	かくえいざん	人名
豪ノ勝	ごうのしょう	人名
麟虎	りんこ	人名
聖富士	さとるふじ	人名
春山	はるやま	人名
出沼	でぬま	人名
西御許	にしおもと	人名
藪ヶ崎	やぶがさき	人名
東誠竜	とうせいりゅう	人名
島津海	しまづうみ	人名
つる林	つるばやし	人名
肥後ノ丸	ひごのまる	人名
大飛翔	だいひしょう	人名
安大翔	あんおおしょう	人名
隠岐の浜	おきのはま	人名
一翔	かずと	人名
矢後	やご	人名
木竜皇	きりゅうこう	人名
米沢龍	よねざわりゅう	人名
滑翔	かっしょう	人名
千代ノ皇	ちよのおう	人名
相馬	そうま	人名
天狼星	てんろうせい	人名
花の海	はなのうみ	人名
日向龍	ひなたりゅう	人名
大翔丸	だいしょうまる	人名
甲斐田	かいだ	人名
立王尚	たつおうしょう	人名
琴大進	ことだいしん	人名
幸乃富士	さちのふじ	人名
小城ノ浜	おぎのはま	人名
東照山	とうしょうやま	人名
